Type,AnimationType,LengthOpt,Run,Delay,Offset
WalkCycle,LoopedWithDirection,None,4,15,[0 0]
CelebrateCycle,LoopedWithDirection,None,4,10,[0 1]
ReadyCycle,SaturatedWithDirection,[Some 60],3,15,[0 5]
[PoiseCycle Poising],LoopedWithDirection,None,4,15,[0 3]
[PoiseCycle Defending],LoopedWithDirection,None,1,10,[0 9]
[PoiseCycle Charging],LoopedWithDirection,None,4,10,[0 2]
AttackCycle,SaturatedWithDirection,[Some 60],3,15,[0 6]
WoundCycle,LoopedWithoutDirection,[Some 60],1,10,[0 11]
SpinCycle,LoopedWithoutDirection,[Some 40],4,10,[0 10]
DamageCycle,SaturatedWithDirection,[Some 40],1,10,[0 8]
IdleCycle,LoopedWithDirection,None,1,10,[0 10]
CastCycle,LoopedWithDirection,None,4,5,[0 2]
Cast2Cycle,LoopedWithDirection,None,2,10,[0 7]
SlashCycle,SaturatedWithDirection,[Some 120],3,15,[0 6]
WhirlCycle,LoopedWithoutDirection,None,4,3,[0 12]
BuryCycle,SaturatedWithoutDirection,None,4,10,[0 12]
